ts,gpu_w,gpu_busy_pct,gpu_vram_mib,gpu_temp_c,cpu_pkg_w,cpu_util_pct,mem_used_mib
1789628521.764,11.42,0.0,3496.0,46.0,3.31,0.4,3905
1789628522.810,11.33,0.0,3496.0,46.0,3.15,0.4,3899
1789628523.856,11.28,0.0,3496.0,46.0,3.03,0.6,3901
1789628524.899,11.16,0.0,3496.0,46.0,3.17,0.3,3899
1789628525.942,10.98,0.0,3496.0,46.0,3.2,0.3,3900
1789628526.985,10.99,0.0,3496.0,46.0,2.84,0.5,3902
1789628528.029,11.08,0.0,3496.0,46.0,3.42,0.5,3903
1789628529.072,11.11,0.0,3496.0,45.0,3.05,0.4,3896
1789628530.116,11.25,0.0,3496.0,45.0,3.1,0.4,3895
1789628531.159,11.36,0.0,3496.0,45.0,3.26,0.5,3896
1789628532.204,11.25,0.0,3496.0,45.0,3.12,0.4,3895
1789628533.249,11.08,0.0,3496.0,45.0,3.26,0.5,3889
1789628534.296,11.07,0.0,3496.0,45.0,3.13,0.5,3896
1789628535.342,11.17,0.0,3500.0,45.0,3.88,3.3,4000
1789628536.369,183.25,95.0,3502.0,57.0,14.36,29.6,3998
1789628537.396,199.1,95.0,3502.0,58.0,14.37,29.0,4007
1789628538.424,198.85,95.0,3502.0,59.0,14.4,29.5,4007
1789628539.451,198.63,95.0,3502.0,60.0,14.73,29.3,4025
1789628540.476,198.91,96.0,3502.0,60.0,14.23,29.3,4032
1789628541.502,199.21,96.0,3502.0,61.0,14.06,29.4,4034
1789628542.528,198.98,95.0,3502.0,61.0,14.31,29.4,4031
1789628543.555,198.91,96.0,3502.0,62.0,14.51,29.3,4034
1789628544.581,199.07,96.0,3502.0,62.0,14.53,29.5,4022
1789628545.606,149.69,100.0,3506.0,62.0,11.34,22.3,4163
1789628546.632,198.88,100.0,3506.0,63.0,14.62,33.5,4168
1789628547.658,199.79,100.0,3506.0,64.0,14.64,33.3,4156
1789628548.685,198.79,100.0,3506.0,64.0,14.17,30.7,4166
1789628549.711,198.57,100.0,3506.0,64.0,13.88,27.9,4209
1789628550.737,174.14,91.0,3508.0,64.0,13.15,25.3,4554
1789628551.763,199.03,96.0,3508.0,64.0,14.25,29.3,4570
1789628552.788,199.39,95.0,3508.0,65.0,14.52,29.3,4573
1789628553.816,199.3,95.0,3508.0,65.0,14.58,29.5,4566
1789628554.844,149.68,0.0,3508.0,63.0,11.2,20.5,4614
1789628555.870,199.34,100.0,3508.0,66.0,14.84,34.2,4611
